1.126470588235294288e-08,3.279411764705882548e-09
6.642187500000000727e-08,3.140625000000000205e-09
2.001486486486486672e-07,4.702702702702702984e-09
2.156500000000000285e-07,3.033333333333333198e-09
2.840000000000000020e-07,3.283582089552239227e-09
2.989677419354838806e-07,2.500000000000000052e-09
3.514655172413793498e-07,2.810344827586206990e-09
3.663050847457627572e-07,2.559322033898304897e-09
4.351851851851851969e-07,4.395061728395061961e-09
4.500895522388060023e-07,2.865671641791044918e-09
5.186301369863014125e-07,3.931506849315068843e-09
5.336896551724139028e-07,2.327586206896551616e-09
5.878030303030302611e-07,5.212121212121212245e-09
6.028977272727272371e-07,4.068181818181818289e-09
6.177796610169491870e-07,2.627118644067796798e-09
7.013058823529411744e-07,5.094117647058823114e-09
7.163835616438356858e-07,3.684931506849315284e-09
7.310862068965517826e-07,2.706896551724138010e-09
7.878181818181819352e-07,2.472727272727272836e-09
8.168333333333334677e-07,4.576923076923076739e-09
8.705714285714286340e-07,3.376623376623376807e-09
8.851011235955057213e-07,5.179775280898877050e-09
9.388305084745762944e-07,2.711864406779661158e-09
9.539480519480520154e-07,4.194805194805195359e-09
1.023291666666666660e-06,3.986111111111111787e-09
1.077561643835616584e-06,3.493150684931507098e-09
1.134571428571428774e-06,3.610389610389610856e-09
1.175934426229508431e-06,2.967213114754098698e-09
1.259176470588235513e-06,4.400000000000000522e-09
1.299500000000000009e-06,4.024390243902439431e-09
1.339558441558441591e-06,3.701298701298701715e-09
1.379620000000000015e-06,2.140000000000000055e-09
1.433551724137930980e-06,5.298850574712644006e-09
1.472615384615384681e-06,4.256410256410256283e-09
1.512469879518072272e-06,4.265060240963855652e-09
2.694000000000000168e-07,5.960000000000000098e-09
8.020597014925374272e-07,5.134328358208955581e-09
1.393771084337349328e-06,5.650602409638554427e-09
5.150000000000000455e-08,6.500000000000000301e-09
1.634444444444444742e-07,6.206349206349206700e-09
4.201219512195122039e-07,6.731707317073171292e-09
6.862643678160920161e-07,7.137931034482759557e-09
1.092623188405797150e-06,6.130434782608696133e-09
1.149648648648648772e-06,7.054054054054054890e-09
5.042499999999999790e-07,6.821428571428571654e-09
5.725890410958903594e-07,7.328767123287672055e-09
8.315949367088608655e-07,7.810126582278481674e-09
9.684473684210526677e-07,6.986842105263157593e-09
1.191171428571428580e-06,6.928571428571429047e-09
1.850588235294117745e-07,7.970588235294117687e-09
4.896575342465753739e-07,8.602739726027399190e-09
9.002658227848101045e-07,8.101265822784811971e-09
1.313658536585366002e-06,9.000000000000001181e-09
1.353684210526315947e-06,8.171052631578947744e-09
1.526629629629629590e-06,8.938271604938272478e-09
3.693055555555555813e-08,9.388888888888889692e-09
9.203076923076923735e-08,8.907692307692308810e-09
1.486111111111111206e-07,9.180555555555556147e-09
2.544683544303797563e-07,9.177215189873417537e-09
4.050144927536232002e-07,9.260869565217391872e-09
6.574111111111111503e-07,1.018888888888888858e-08
6.719836065573770250e-07,8.704918032786886334e-09
9.838115942028986212e-07,9.434782608695653436e-09
1.109031250000000166e-06,9.500000000000000695e-09
1.232789473684210673e-06,8.491228070175438530e-09
1.273217948717948762e-06,9.423076923076923719e-09
1.487085365853658524e-06,9.536585365853659882e-09
3.379333333333333815e-07,9.966666666666668232e-09
5.576790123456789807e-07,1.038271604938271717e-08
7.566301369863015055e-07,1.054794520547945311e-08
8.460465116279069848e-07,1.073255813953488460e-08
9.143500000000000845e-07,1.127500000000000170e-08
1.052132530120482077e-06,1.061445783132530197e-08
1.163957446808510737e-06,1.119148936170212949e-08
1.408226190476190542e-06,1.053571428571428718e-08
1.448271428571428626e-06,1.050000000000000138e-08
2.400705882352941264e-07,1.125882352941176665e-08
3.229529411764705708e-07,1.164705882352941115e-08
3.901866666666667089e-07,1.140000000000000116e-08
4.741075268817204557e-07,1.186021505376344006e-08
6.423246753246753670e-07,1.181818181818181903e-08
7.716962025316455715e-07,1.141772151898734264e-08
1.204775000000000251e-06,1.168750000000000126e-08
7.701492537313434281e-08,1.289552238805970254e-08
1.338000000000000202e-07,1.226153846153846329e-08
5.427407407407407803e-07,1.248148148148148149e-08
6.271875000000000831e-07,1.308750000000000056e-08
7.407837837837838372e-07,1.231081081081081164e-08
9.290975609756098665e-07,1.279268292682926962e-08
9.984074074074075170e-07,1.248148148148148149e-08
1.123443037974683630e-06,1.302531645569620388e-08
1.327935483870967866e-06,1.335483870967742025e-08
2.197402597402597665e-08,1.385714285714285809e-08
2.250749999999999955e-07,1.367500000000000168e-08
3.080235294117647034e-07,1.344705882352941238e-08
3.756212121212121357e-07,1.289393939393939495e-08
4.592400000000000280e-07,1.378666666666666869e-08
8.606973684210526194e-07,1.409210526315789685e-08
1.066895348837209235e-06,1.374418604651162825e-08
1.246821428571428843e-06,1.394047619047619052e-08
1.287623655913978523e-06,1.425806451612903271e-08
1.013357142857142999e-06,1.503571428571428611e-08
1.461984126984127087e-06,1.442857142857142920e-08
1.501130434782608874e-06,1.494565217391304482e-08
2.098555555555555664e-07,1.636666666666666764e-08
3.605714285714285935e-07,1.480952380952381050e-08
4.443012048192771613e-07,1.610843373493976033e-08
5.282537313432835709e-07,1.547761194029850739e-08
6.119166666666666172e-07,1.558333333333333391e-08
7.258450704225352006e-07,1.550704225352112810e-08
7.916268656716418701e-07,1.568656716417910682e-08
9.438352941176471475e-07,1.554117647058823510e-08
1.381853333333333375e-06,1.541333333333333636e-08
1.422188235294117694e-06,1.532941176470588416e-08
6.974025974025973856e-09,1.715584415584415744e-08
1.173768115942029121e-07,1.576811594202898889e-08
2.929705882352941832e-07,1.594117647058823537e-08
8.752619047619048542e-07,1.708333333333333410e-08
1.081875000000000124e-06,1.692500000000000101e-08
1.179526315789473830e-06,1.634210526315789549e-08
6.206060606060607009e-08,1.696969696969697126e-08
5.135306122448979937e-07,1.814285714285714224e-08
5.971818181818181451e-07,1.785714285714285917e-08
7.108918918918918773e-07,1.763513513513513888e-08
1.139090909090909062e-06,1.737662337662337933e-08
1.220923076923076910e-06,1.712307692307692319e-08
1.731355932203390002e-07,1.757627118644067850e-08
4.290266666666666517e-07,1.860000000000000112e-08
8.213600000000000439e-07,1.874666666666666645e-08
8.897228915662650906e-07,1.931325301204819354e-08
9.587027027027028571e-07,1.822972972972973147e-08
